region,agency,portal_url,scope,portal_status,notes
全国,教育部教育考试院,https://gaokao.neea.edu.cn/,全国普通高考政策、考试大纲与试题评析,checked,已于2026-08-29核对普通高考栏目：公开政策、考试大纲和试题评析；未发现历年原卷统一下载库，具体文件来源与授权须另行登记
BJ,北京教育考试院,https://www.bjeea.cn/html/gkgz/index.html,北京高考高招栏目,announcement_only,已于2026-08-29核对高考高招栏目：当前提供报名、成绩、录取和政策公告；当前栏目页未发现历年统考原卷下载入口
TJ,天津市教育招生考试院,https://www.zhaokao.net/,天津高考,pending_manual_check,从普通高考栏目和站内公告检索
HE,河北省教育考试院,https://www.hebeea.edu.cn/,河北高考,pending_manual_check,从普通高考栏目和站内公告检索
SX,山西省招生考试管理中心,https://www.sxkszx.cn/,山西高考,pending_manual_check,从普通高考栏目和站内公告检索
NM,内蒙古自治区教育招生考试中心,https://www.nm.zsks.cn/,内蒙古高考,pending_manual_check,从普通高考栏目和站内公告检索
LN,辽宁省招生考试办公室,https://www.lnzsks.com/,辽宁高考,pending_manual_check,从普通高考栏目和站内公告检索
JL,吉林省教育考试院,https://www.jleea.com.cn/,吉林高考,pending_manual_check,从普通高考栏目和站内公告检索
HL,黑龙江省招生考试信息港,https://www.lzk.hl.cn/,黑龙江高考,pending_manual_check,从普通高考栏目和站内公告检索
SH,上海市教育考试院,https://www.shmeea.edu.cn/page/02000/index.html,上海高考学考栏目,announcement_only,已于2026-08-31补核春季高考栏目：已找到2024年春考数学官方试题评析 https://www.shmeea.edu.cn/page/02300/20240106/18125.html；页面确认卷制身份但未提供原卷下载或再发布许可，已登记到 target-evidence.csv
JS,江苏省教育考试院,https://www.jseea.cn/,江苏高考,pending_manual_check,从普通高考栏目和站内公告检索
ZJ,浙江省教育考试院,https://www.zjzs.net/,浙江高考与选考,pending_manual_check,分别检索一月和六月考试资料
AH,安徽省教育招生考试院,https://www.ahzsks.cn/,安徽高考,pending_manual_check,从普通高考栏目和站内公告检索
FJ,福建省教育考试院,https://www.eeafj.cn/,福建高考,pending_manual_check,从普通高考栏目和站内公告检索
JX,江西省教育考试院,https://www.jxeea.cn/,江西高考,pending_manual_check,从普通高考栏目和站内公告检索
SD,山东省教育招生考试院,https://www.sdzk.cn/,山东高考,pending_manual_check,从夏季高考栏目和站内公告检索
HA,河南省教育考试院,https://www.haeea.cn/,河南高考,pending_manual_check,从普通高考栏目和站内公告检索
HB,湖北省教育考试院,https://www.hbea.edu.cn/,湖北高考,pending_manual_check,从普通高考栏目和站内公告检索
HN,湖南省教育考试院,https://jyt.hunan.gov.cn/sjyt/hnsjyksy/,湖南高考,pending_manual_check,从普通高考栏目和站内公告检索
GD,广东省教育考试院,https://eea.gd.gov.cn/,广东高考,pending_manual_check,从普通高考栏目和站内公告检索
GX,广西招生考试院,https://www.gxeea.cn/,广西高考,pending_manual_check,从普通高考栏目和站内公告检索
HI,海南省考试局,https://ea.hainan.gov.cn/,海南高考,pending_manual_check,从普通高考栏目和站内公告检索
CQ,重庆市教育考试院,https://www.cqksy.cn/,重庆高考,pending_manual_check,从普通高考栏目和站内公告检索
SC,四川省教育考试院,https://www.sceea.cn/,四川高考,pending_manual_check,从普通高考栏目和站内公告检索
GZ,贵州省招生考试院,https://zsksy.guizhou.gov.cn/,贵州高考,pending_manual_check,从普通高考栏目和站内公告检索
YN,云南省招生考试院,https://www.ynzs.cn/,云南高考,pending_manual_check,从普通高考栏目和站内公告检索
XZ,西藏自治区教育考试院,https://zsks.edu.xizang.gov.cn/,西藏高考,pending_manual_check,从普通高考栏目和站内公告检索
SN,陕西省教育考试院,https://www.sneea.cn/,陕西高考,pending_manual_check,从普通高考栏目和站内公告检索
GS,甘肃省教育考试院,https://www.ganseea.cn/,甘肃高考,pending_manual_check,从普通高考栏目和站内公告检索
QH,青海省教育考试网,https://www.qhjyks.com/,青海高考,pending_manual_check,从普通高考栏目和站内公告检索
NX,宁夏教育考试院,https://www.nxjyks.cn/,宁夏高考,pending_manual_check,从普通高考栏目和站内公告检索
XJ,新疆教育考试院,https://www.xjzk.gov.cn/,新疆高考,pending_manual_check,从普通高考栏目和站内公告检索
