target_id,year,region,subject,paper_type,title,scope,linked_record_ids,official_evidence_ids,notes
2021-national-math-yi-wen,2021,全国,数学,全国乙卷文科,2021年普通高等学校招生全国统一考试数学全国乙卷文科,全国乙卷使用范围；文科数学,deekur-2021-15-math,neea-2021-national-math-analysis-yi-wen,首批经教育部教育考试院全国卷数学试题评析佐证的卷制目标；文件来源和授权仍以关联记录为准
2021-national-math-yi-li,2021,全国,数学,全国乙卷理科,2021年普通高等学校招生全国统一考试数学全国乙卷理科,全国乙卷使用范围；理科数学,deekur-2021-16-math,neea-2021-national-math-analysis-yi-li,首批经教育部教育考试院全国卷数学试题评析佐证的卷制目标；文件来源和授权仍以关联记录为准
2021-national-math-jia-wen,2021,全国,数学,全国甲卷文科,2021年普通高等学校招生全国统一考试数学全国甲卷文科,全国甲卷使用范围；文科数学,deekur-2021-17-math,neea-2021-national-math-analysis-jia-wen,首批经教育部教育考试院全国卷数学试题评析佐证的卷制目标；文件来源和授权仍以关联记录为准
2021-national-math-jia-li,2021,全国,数学,全国甲卷理科,2021年普通高等学校招生全国统一考试数学全国甲卷理科,全国甲卷使用范围；理科数学,deekur-2021-18-math,neea-2021-national-math-analysis-jia-li,首批经教育部教育考试院全国卷数学试题评析佐证的卷制目标；文件来源和授权仍以关联记录为准
2021-national-physics-yi,2021,全国,物理,全国乙卷物理,2021年普通高等学校招生全国统一考试全国乙卷理综物理部分,全国乙卷使用范围；理综物理部分,deekur-物理-2021-054,neea-2021-national-physics-analysis-yi,经教育部教育考试院理科综合全国卷试题评析佐证的卷制目标；文件来源和授权仍以关联记录为准
2021-national-physics-jia,2021,全国,物理,全国甲卷物理,2021年普通高等学校招生全国统一考试全国甲卷理综物理部分,全国甲卷使用范围；理综物理部分,deekur-物理-2021-055,neea-2021-national-physics-analysis-jia,经教育部教育考试院理科综合全国卷试题评析佐证的卷制目标；文件来源和授权仍以关联记录为准
2020-national-math-1-wen,2020,全国,数学,全国一卷文科,2020年普通高等学校招生全国统一考试数学全国一卷文科,全国一卷使用范围；文科数学,deekur-2020-02-math,neea-2020-national-math-analysis-1-wen,经教育部教育考试院全国卷数学试题评析佐证的卷制目标；文件来源和授权仍以关联记录为准
2020-national-math-1-li,2020,全国,数学,全国一卷理科,2020年普通高等学校招生全国统一考试数学全国一卷理科,全国一卷使用范围；理科数学,deekur-2020-03-math,neea-2020-national-math-analysis-1-li,经教育部教育考试院全国卷数学试题评析佐证的卷制目标；文件来源和授权仍以关联记录为准
2020-national-math-2-wen,2020,全国,数学,全国二卷文科,2020年普通高等学校招生全国统一考试数学全国二卷文科,全国二卷使用范围；文科数学,deekur-2020-04-math,neea-2020-national-math-analysis-2-wen,经教育部教育考试院全国卷数学试题评析佐证的卷制目标；文件来源和授权仍以关联记录为准
2020-national-math-2-li,2020,全国,数学,全国二卷理科,2020年普通高等学校招生全国统一考试数学全国二卷理科,全国二卷使用范围；理科数学,deekur-2020-05-math,neea-2020-national-math-analysis-2-li,经教育部教育考试院全国卷数学试题评析佐证的卷制目标；文件来源和授权仍以关联记录为准
