lead_id,year,subject,paper_type,scope,source_name,source_url,confidence,linked_record_ids,notes
community-2024-math-new-1,2024,数学,新高考I卷,安徽、福建、广东、河北、河南、湖北、湖南、江苏、江西、山东、浙江,deekur/gaokao-system,https://raw.githubusercontent.com/deekur/gaokao-system/main/%E7%94%A8%E5%8D%B7/xlsx/%E5%B8%B8%E8%A7%84%E7%A7%91%E7%9B%AE/2024.xlsx,community_unverified,2024-全国-数学-新高考I卷;deekur-2024-48-math,社区用卷范围表称这些省份语文、数学、英语使用新高考一卷；已收录两种题干变体，只用作目标发现与目录导航线索
community-2024-math-new-2,2024,数学,新高考II卷,广西、甘肃、贵州、黑龙江、海南、吉林、辽宁、重庆、山西、新疆、云南,deekur/gaokao-system,https://raw.githubusercontent.com/deekur/gaokao-system/main/%E7%94%A8%E5%8D%B7/xlsx/%E5%B8%B8%E8%A7%84%E7%A7%91%E7%9B%AE/2024.xlsx,community_unverified,deekur-2024-49-math,社区用卷范围表称这些省份语文、数学、英语使用新高考二卷；只用作目标发现与目录导航线索
community-2024-math-national-a-wen,2024,数学,全国甲卷文科,内蒙古、宁夏、青海、陕西、四川、西藏,deekur/gaokao-system,https://raw.githubusercontent.com/deekur/gaokao-system/main/%E7%94%A8%E5%8D%B7/xlsx/%E5%B8%B8%E8%A7%84%E7%A7%91%E7%9B%AE/2024.xlsx,community_unverified,deekur-2024-44-math,社区用卷范围表称这些省份使用全国甲卷；数学文理分卷按该表的数学卷数统计列出，待官方原始材料核验
community-2024-math-national-a-li,2024,数学,全国甲卷理科,内蒙古、宁夏、青海、陕西、四川、西藏,deekur/gaokao-system,https://raw.githubusercontent.com/deekur/gaokao-system/main/%E7%94%A8%E5%8D%B7/xlsx/%E5%B8%B8%E8%A7%84%E7%A7%91%E7%9B%AE/2024.xlsx,community_unverified,deekur-2024-45-math,社区用卷范围表称这些省份使用全国甲卷；数学文理分卷按该表的数学卷数统计列出，待官方原始材料核验
community-2024-math-beijing,2024,数学,北京卷,北京,deekur/gaokao-system,https://raw.githubusercontent.com/deekur/gaokao-system/main/%E7%94%A8%E5%8D%B7/xlsx/%E5%B8%B8%E8%A7%84%E7%A7%91%E7%9B%AE/2024.xlsx,community_unverified,deekur-2024-46-math,社区用卷范围表列为北京卷；只用作目标发现与目录导航线索
community-2024-math-tianjin,2024,数学,天津卷,天津,deekur/gaokao-system,https://raw.githubusercontent.com/deekur/gaokao-system/main/%E7%94%A8%E5%8D%B7/xlsx/%E5%B8%B8%E8%A7%84%E7%A7%91%E7%9B%AE/2024.xlsx,community_unverified,deekur-2024-47-math;temp-2024-数学-d7ffc6dab1af,社区用卷范围表列为天津卷；已收录两种题干变体，只用作目标发现与目录导航线索
community-2024-math-shanghai-spring,2024,数学,上海春考卷,上海,deekur/gaokao-system,https://raw.githubusercontent.com/deekur/gaokao-system/main/%E7%94%A8%E5%8D%B7/xlsx/%E5%B8%B8%E8%A7%84%E7%A7%91%E7%9B%AE/2024.xlsx,community_unverified,,社区用卷范围表的数学卷数统计列出上海春考卷；当前未找到可确认对应的完整卷，待官方原始材料核验
community-2024-math-shanghai-autumn,2024,数学,上海秋考卷,上海,deekur/gaokao-system,https://raw.githubusercontent.com/deekur/gaokao-system/main/%E7%94%A8%E5%8D%B7/xlsx/%E5%B8%B8%E8%A7%84%E7%A7%91%E7%9B%AE/2024.xlsx,community_unverified,deekur-2024-43-math;temp-2024-数学-408b18cc7007,社区用卷范围表的数学卷数统计列出上海秋考卷；已关联一个完整卷版本，网络回忆版已另归档为片段资料；用卷范围线索本身仍待官方原始材料核验
community-2025-math-national-1,2025,数学,全国一卷,安徽、福建、广东、河北、河南、湖北、湖南、江苏、江西、山东、浙江,deekur/gaokao-system,https://raw.githubusercontent.com/deekur/gaokao-system/main/%E7%94%A8%E5%8D%B7/xlsx/%E5%B8%B8%E8%A7%84%E7%A7%91%E7%9B%AE/2025%2C2026.xlsx,community_unverified,2025-全国-数学-全国一卷;deekur-2025-51-math,社区表将 2025 和 2026 合并，称这些省份语文、数学、英语使用全国一卷；本库已有两个候选版本，尚未据此认定内容相同或已获官方佐证
community-2025-math-national-2,2025,数学,全国二卷,甘肃、广西、贵州、黑龙江、海南、吉林、辽宁、内蒙古、宁夏、青海、陕西、山西、四川、西藏、新疆、云南、重庆,deekur/gaokao-system,https://raw.githubusercontent.com/deekur/gaokao-system/main/%E7%94%A8%E5%8D%B7/xlsx/%E5%B8%B8%E8%A7%84%E7%A7%91%E7%9B%AE/2025%2C2026.xlsx,community_unverified,2025-全国-数学-全国二卷;deekur-2025-52-math,社区表将 2025 和 2026 合并，称这些省份语文、数学、英语使用全国二卷；本库已有两个候选版本，尚未据此认定内容相同或已获官方佐证
community-2025-math-beijing,2025,数学,北京卷,北京,deekur/gaokao-system,https://raw.githubusercontent.com/deekur/gaokao-system/main/%E7%94%A8%E5%8D%B7/xlsx/%E5%B8%B8%E8%A7%84%E7%A7%91%E7%9B%AE/2025%2C2026.xlsx,community_unverified,2025-BJ-数学-地方卷,社区表将 2025 和 2026 合并，数学卷数统计列为北京卷；待官方原始材料核验
community-2025-math-tianjin,2025,数学,天津卷,天津,deekur/gaokao-system,https://raw.githubusercontent.com/deekur/gaokao-system/main/%E7%94%A8%E5%8D%B7/xlsx/%E5%B8%B8%E8%A7%84%E7%A7%91%E7%9B%AE/2025%2C2026.xlsx,community_unverified,deekur-2025-54-math,社区表将 2025 和 2026 合并，数学卷数统计列为天津卷；待官方原始材料核验
community-2025-math-shanghai-spring,2025,数学,上海春考卷,上海,deekur/gaokao-system,https://raw.githubusercontent.com/deekur/gaokao-system/main/%E7%94%A8%E5%8D%B7/xlsx/%E5%B8%B8%E8%A7%84%E7%A7%91%E7%9B%AE/2025%2C2026.xlsx,community_unverified,,社区表将 2025 和 2026 合并，数学卷数统计列为上海春考卷；当前未关联可确认的完整卷，待官方原始材料核验
community-2025-math-shanghai-autumn,2025,数学,上海秋考卷,上海,deekur/gaokao-system,https://raw.githubusercontent.com/deekur/gaokao-system/main/%E7%94%A8%E5%8D%B7/xlsx/%E5%B8%B8%E8%A7%84%E7%A7%91%E7%9B%AE/2025%2C2026.xlsx,community_unverified,deekur-2025-50-math,社区表将 2025 和 2026 合并，数学卷数统计列为上海秋考卷；待官方原始材料核验
community-2026-math-national-1,2026,数学,全国一卷,安徽、福建、广东、河北、河南、湖北、湖南、江苏、江西、山东、浙江,deekur/gaokao-system,https://raw.githubusercontent.com/deekur/gaokao-system/main/%E7%94%A8%E5%8D%B7/xlsx/%E5%B8%B8%E8%A7%84%E7%A7%91%E7%9B%AE/2025%2C2026.xlsx,community_unverified,2026-全国-数学-全国一卷;deekur-2026-56-math;temp-2026-数学-ef8099d5f60a,社区表将 2025 和 2026 合并，称这些省份语文、数学、英语使用全国一卷；本库已有三个候选版本，尚未据此认定内容相同或已获官方佐证
community-2026-math-national-2,2026,数学,全国二卷,甘肃、广西、贵州、黑龙江、海南、吉林、辽宁、内蒙古、宁夏、青海、陕西、山西、四川、西藏、新疆、云南、重庆,deekur/gaokao-system,https://raw.githubusercontent.com/deekur/gaokao-system/main/%E7%94%A8%E5%8D%B7/xlsx/%E5%B8%B8%E8%A7%84%E7%A7%91%E7%9B%AE/2025%2C2026.xlsx,community_unverified,deekur-2026-57-math,社区表将 2025 和 2026 合并，称这些省份语文、数学、英语使用全国二卷；待官方原始材料核验
community-2026-math-beijing,2026,数学,北京卷,北京,deekur/gaokao-system,https://raw.githubusercontent.com/deekur/gaokao-system/main/%E7%94%A8%E5%8D%B7/xlsx/%E5%B8%B8%E8%A7%84%E7%A7%91%E7%9B%AE/2025%2C2026.xlsx,community_unverified,deekur-2026-58-math;temp-2026-数学-b4cda6722b5f,社区表将 2025 和 2026 合并，数学卷数统计列为北京卷；已有两个候选版本，待内容及官方原始材料核验
community-2026-math-tianjin,2026,数学,天津卷,天津,deekur/gaokao-system,https://raw.githubusercontent.com/deekur/gaokao-system/main/%E7%94%A8%E5%8D%B7/xlsx/%E5%B8%B8%E8%A7%84%E7%A7%91%E7%9B%AE/2025%2C2026.xlsx,community_unverified,deekur-2026-59-math;temp-2026-数学-9c9cb50bcd0c,社区表将 2025 和 2026 合并，数学卷数统计列为天津卷；已有两个内容不同的版本，待官方原始材料核验
community-2026-math-shanghai-spring,2026,数学,上海春考卷,上海,deekur/gaokao-system,https://raw.githubusercontent.com/deekur/gaokao-system/main/%E7%94%A8%E5%8D%B7/xlsx/%E5%B8%B8%E8%A7%84%E7%A7%91%E7%9B%AE/2025%2C2026.xlsx,community_unverified,,社区表将 2025 和 2026 合并，数学卷数统计列为上海春考卷；当前未关联可确认的完整卷，待官方原始材料核验
community-2026-math-shanghai-autumn,2026,数学,上海秋考卷,上海,deekur/gaokao-system,https://raw.githubusercontent.com/deekur/gaokao-system/main/%E7%94%A8%E5%8D%B7/xlsx/%E5%B8%B8%E8%A7%84%E7%A7%91%E7%9B%AE/2025%2C2026.xlsx,community_unverified,deekur-2026-55-math;temp-2026-数学-66df94475d50,社区表将 2025 和 2026 合并，数学卷数统计列为上海秋考卷；已有两个候选版本，待内容及官方原始材料核验
